created_at,screen_name,text,favorite_count,retweet_count,urls_expanded_url
2018-02-03T17:44:28Z,drob,Check out the keras package! I really like how the pipe operator is used to define multiple layers in a neural network https://t.co/BneOQfMe1V #rstudioconf @fly_upside_down https://t.co/fBxjEPEHuo,97,13,https://tensorflow.rstudio.com/keras/
2018-02-03T17:39:26Z,drob,.@fly_upside_down shows how fast the field of deep learning by sharing a cool paper from just last week: predictive modeling of raw electronic health records https://t.co/KSegaBikkL #rstudioconf https://t.co/mf5spjQqPb,38,14,https://arxiv.org/abs/1801.07860
2018-02-03T17:38:51Z,rstudio,"In case you missed it, we are live-streaming day 2 of rstudio::conf 2018 -&gt; https://t.co/T8BIj2RaJQ. The stream is on a new channel due to technical difficulties with our other account. We appreciate the patience and flexibility. #rstudioconf #rstats #rstudio",28,13,http://bit.ly/2s3Mzq3
2018-02-03T17:10:05Z,rstudio,"We are live-streaming:  #rstudioconf 2018 keynote: “Machine Learning with Tensor Flow and R”, presented by RStudio founder J.J. Allaire. Access the stream -&gt; https://t.co/RBGqaqknxd #Rstats #RStudio",64,25,http://bit.ly/2nCVsRS
2018-02-03T17:09:20Z,AmeliaMN,skim() All The Things!! https://t.co/LYv3aNKl22 #rstudioconf https://t.co/8h0LVA7j44,59,11,https://cran.r-project.org/web/packages/skimr/index.html
2018-02-03T02:42:59Z,JennyBryan,"Dealing with lists, lists in a data frame, and how to simplify them: slides from my #rstudioconf talk (link to #rstats code in description): https://t.co/w4XDpwkCIg https://t.co/WYcpFksgYo",299,76,https://rstd.io/rectangling
2018-02-03T02:18:46Z,theotheredgar,Material from my #rstudioconf talk about databases with R is now available here: https://t.co/6XRgAouaZT https://t.co/CbixOaShaV,60,18,https://github.com/edgararuiz/db_best_practices_2018
2018-02-03T01:07:26Z,ntweetor,"For anyone interested, here is a link to my #rstudioconf slides on the zeallot 📦 and unpacking assignment in R. https://t.co/FmWGgaL1vS",71,21,https://github.com/nteetor/presentations/tree/master/rstudio-conf-2018#readme
2018-02-03T00:57:06Z,juliasilge,"Here are the slides for my #rstudioconf talk on understanding PCA using Stack Overflow data! 
https://t.co/TLuRW9WS0c",332,107,https://speakerdeck.com/juliasilge/understanding-principal-component-analysis-using-stack-overflow-data
2018-02-03T00:46:36Z,krlmlr,"Slides for my #rstudioconf presentation on DBI, with @RConsortium support: https://t.co/87raZdl0P6. As promised, the nodes are green 😄 https://t.co/dwsXVBaQGo",38,17,https://goo.gl/8sJLLp
2018-02-03T00:17:13Z,robinson_es,"If you’re ready to take your #rstats coding to the next level, check out tidy eval and more in @hadleywickham’s WIP 2nd edition advanced R book https://t.co/9la36OT0RY #rstudioconf https://t.co/oDg1ArrQsd",51,17,http://adv-r.hadley.nz
2018-02-02T23:19:34Z,TimothyMastny,"The presentations at #rstudioconf are great! Why not embed them in your blogdown website with one line of code? @xieyihui makes it very simple with knitr #rstats 
https://t.co/xqVQOUNols https://t.co/y2LAVr9MRj",47,18,https://timmastny.rbind.io/blog/embed-slides-knitr-blogdown/
2018-02-02T22:44:06Z,minebocek,Slides (just a few) from my #rstudioconf talk and demo materials (that made up most of the talk) are at https://t.co/dRf5sziMs9 (and I can't wait to watch the videos of all the talks I missed during it),78,21,http://bit.ly/conf18-mine
2018-02-02T22:37:28Z,xieyihui,"Slides of my #rstudioconf talk on blogdown: https://t.co/BNimSHHHht Sorry, I have to confess that I lied (apparently) when I said I could type insanely fast with HHKB. The HHKB was not even connected to my laptop... I added the truth to the slides. Enjoy!",165,40,https://bit.ly/2018-blogdown
2018-02-02T20:14:38Z,kevin_ushey,Thanks to everyone who joined my talk re: new features in RStudio v1.1! Slides are up at https://t.co/AJnaObTGL5. #rstudioconf,44,16,https://kevinushey-2018-rstudio-conf.netlify.com/slides.html
2018-02-02T20:03:10Z,LucyStats,"Hearing Andrew Bray discuss his (&amp; @old_man_chester @BaumerBen @minebocek) #rstats infer 📦. Building statistical inference in a tidy &amp; transparent way, using the verbs:
🗣 specify()
🤔 hypothesize()
🎲 generate()
💻 calculate()
📈 visualize()
https://t.co/BzdQeBYSWV #rstudioconf",87,26,https://infer.netlify.com
2018-02-02T19:55:12Z,juliasilge,"Wowwwww, this #rstudioconf talk by Andrew Bray on the infer package makes me reconsider how I implement hypothesis testing. https://t.co/mX3JRFotv9",70,16,https://github.com/andrewpbray/infer
2018-02-02T19:55:01Z,robinson_es,"https://t.co/m4J36kJn4S comes with tutorials! No installation needed, making it (&amp; https://t.co/0l6EW2sOfd) great ways for people to get started with R #rstudioconf https://t.co/SEZrNguPDd",58,12,http://Rstudio.cloud
2018-02-02T19:55:01Z,robinson_es,"https://t.co/m4J36kJn4S comes with tutorials! No installation needed, making it (&amp; https://t.co/0l6EW2sOfd) great ways for people to get started with R #rstudioconf https://t.co/SEZrNguPDd",58,12,http://datacamp.com
2018-02-02T19:41:54Z,robinson_es,Excited to learn all about rstudio in the cloud. Try it yourself at https://t.co/pMCMK3Zf3q #rstudioconf https://t.co/82MN1ZAyPX,43,16,http://rstudio.cloud
